Area,Bedrooms,Bathrooms,Age,Parking,Location,Price
3219,1,1,23,1,Pune,28102000
1514,2,1,21,2,Kalyan,13962000
956,5,4,1,0,Mumbai,16298000
1495,2,1,17,0,Kalyan,13610000
2318,2,4,18,1,Mumbai,25044000
3708,2,4,10,1,Pune,34064000
1481,3,1,2,1,Mumbai,18748000
2070,3,3,25,0,Navi Mumbai,19910000
2796,1,4,2,2,Thane,26168000
3997,5,3,18,0,Mumbai,39476000
787,2,3,2,0,Mumbai,13096000
2156,3,4,20,1,Pune,21648000
2116,3,2,21,1,Mumbai,23178000
3095,2,2,5,1,Navi Mumbai,28510000
1705,5,2,21,1,Mumbai,20890000
1538,1,3,12,1,Mumbai,18304000
1464,5,3,6,2,Navi Mumbai,17412000
2220,4,2,8,0,Pune,22460000
3651,5,3,23,2,Navi Mumbai,34058000
2990,4,3,7,0,Kalyan,27670000
2621,1,1,27,0,Pune,22918000
3170,2,4,19,0,Navi Mumbai,28810000
2163,5,4,16,1,Kalyan,21604000
647,1,3,24,2,Thane,7576000
1056,3,4,5,1,Mumbai,16098000
3557,3,2,16,0,Thane,31556000
3217,5,2,4,1,Pune,31336000
2809,5,1,19,1,Navi Mumbai,26722000
679,1,3,28,1,Pune,8132000
837,2,1,2,2,Navi Mumbai,10496000
3942,1,2,4,2,Navi Mumbai,35036000
2851,2,3,16,2,Navi Mumbai,26508000
1467,5,2,22,1,Navi Mumbai,16136000
3351,3,4,28,2,Navi Mumbai,30708000
1095,2,2,2,1,Mumbai,15460000
3009,5,2,18,0,Mumbai,31272000
890,1,2,2,0,Thane,9920000
890,5,2,8,2,Navi Mumbai,12420000
1477,5,2,23,2,Kalyan,15366000
2536,2,4,25,1,Pune,23938000
986,1,4,11,1,Navi Mumbai,11438000
2512,1,1,1,1,Thane,22846000
3879,1,2,6,0,Kalyan,33032000
2437,2,4,5,1,Navi Mumbai,23846000
1623,1,4,25,2,Mumbai,18834000
807,5,1,2,0,Pune,11656000
2264,4,4,6,1,Mumbai,26212000
1274,4,1,12,1,Navi Mumbai,14292000
1768,4,4,4,0,Thane,18944000
1491,1,1,23,1,Mumbai,16778000
805,5,4,16,2,Pune,12240000
832,5,1,27,0,Mumbai,13106000
3037,1,2,12,0,Kalyan,25996000
1608,5,1,19,0,Navi Mumbai,16914000
3292,5,3,29,1,Pune,30986000
3343,3,2,8,1,Pune,31144000
3351,3,4,10,0,Mumbai,34008000
2477,5,1,2,2,Pune,25416000
2672,3,2,29,1,Mumbai,27226000
1600,3,3,5,1,Kalyan,16350000
3481,3,1,21,2,Thane,30798000
3317,1,2,8,0,Mumbai,32236000
3640,5,2,8,1,Kalyan,33220000
1462,3,2,21,2,Thane,14946000
2670,4,3,28,0,Mumbai,27860000
3198,4,3,1,0,Thane,30234000
3758,2,3,5,2,Navi Mumbai,34314000
2859,4,1,3,0,Pune,27522000
2834,1,3,18,2,Pune,26072000
2360,2,1,9,1,Mumbai,24930000
2065,2,2,21,0,Thane,18870000
3795,5,4,19,2,Pune,36010000
1569,2,2,28,1,Mumbai,17952000
1334,3,4,25,2,Pune,15022000
1692,2,1,12,0,Navi Mumbai,16436000
1511,2,4,11,1,Pune,16438000
1513,1,2,12,1,Thane,14604000
884,3,3,20,2,Navi Mumbai,11072000
3383,5,3,30,0,Mumbai,33964000
1669,2,3,1,0,Kalyan,16402000
2379,3,3,13,2,Kalyan,22382000
1073,4,2,8,0,Navi Mumbai,12984000
606,5,2,11,1,Mumbai,12598000
3320,3,3,21,0,Thane,29710000
2677,3,4,10,1,Thane,25616000
2870,2,2,13,2,Navi Mumbai,26510000
3374,2,3,12,2,Mumbai,33692000
1844,3,2,13,2,Kalyan,17802000
3281,3,4,14,1,Pune,30948000
2693,4,2,21,0,Thane,24894000
2711,5,3,2,0,Thane,26788000
1520,2,2,0,0,Pune,16260000
2546,5,1,14,1,Kalyan,23868000
1396,4,4,12,0,Pune,16268000
3287,1,1,24,1,Pune,28596000
1320,5,4,1,2,Pune,17110000
1097,4,2,25,1,Kalyan,11526000
2889,5,3,30,1,Kalyan,26412000
3938,5,4,26,2,Navi Mumbai,36504000
1251,4,4,8,0,Thane,14608000
3736,5,4,20,0,Thane,34388000
2401,1,3,7,1,Thane,22258000
1909,5,1,4,0,Pune,20372000
